Relaxation Parameter A,Probability P_f,E_avg,E_std,E_min
4218.0,0.0703125,66984.26387089677,4649.904419696467,53518.15101351729
4250.82,0.0625,66767.53523421429,4467.012350572191,54283.34592128129
4283.639999999999,0.0546875,67781.64813441003,4606.098256284522,56801.81040630434
4316.459999999999,0.046875,67953.09950972142,4428.7359846466825,57256.237944076565
4349.279999999999,0.0546875,67891.47325434138,4117.578820300695,57903.13655665086
4382.0999999999985,0.078125,69127.62125128412,4824.674533846222,53121.44635215285
4414.919999999998,0.078125,69413.83306352897,5002.769825330015,56612.33005278546
4447.739999999998,0.078125,68836.84991160242,4468.983698193279,57640.02231639976
4480.559999999998,0.0703125,69034.03343082295,5018.324706234975,56037.2765427705
4513.379999999997,0.1015625,69102.31555816472,5021.773605613767,55528.65268886485
4546.199999999997,0.1484375,69783.73339632538,5495.979352955943,56762.48509950403
4579.019999999997,0.1015625,70011.28825670079,4801.584130546978,60681.688755208685
4611.8399999999965,0.140625,70495.3050870102,4504.165232335807,59734.37941708279
4644.659999999996,0.125,70652.52381757706,4884.192229415746,60142.520762002736
4677.479999999996,0.1484375,71078.01485172045,4903.434005463637,60222.699861478526
4710.299999999996,0.2109375,71887.32717654342,5319.596073931721,55450.45990051539
4743.119999999995,0.1796875,72124.35098514422,4434.216837940623,61787.67553793645
4775.939999999995,0.1953125,72550.06923505032,5188.6310495726875,59752.34495789575
4808.759999999995,0.265625,72828.43156702012,5413.965849530832,57718.204093745735
4841.5799999999945,0.2265625,73679.34931763091,6322.529676657235,58097.242876134726
4874.399999999994,0.21875,72985.60121939122,4632.442306252087,62332.0116332444
4907.219999999994,0.2265625,72916.16655051743,5621.118130564607,60246.47742986941
4940.039999999994,0.21875,73756.58641012461,5458.306848095016,60358.515897641366
4972.859999999993,0.3046875,74267.79201006705,5287.190572530589,58631.28277380337
5005.679999999993,0.28125,74933.86005442927,5180.379339887112,64003.25879926179
5038.499999999993,0.3125,74791.41371180117,5399.100365254105,60978.72051682879
5071.319999999992,0.375,74155.99084997673,5044.219177482618,56762.730070041434
5104.139999999992,0.25,75924.9374887905,5584.097374266594,56886.588826496794
5136.959999999992,0.3515625,75756.42525042486,5903.595056279921,62241.41817802013
5169.779999999992,0.328125,75713.52507444547,5370.993874395115,61929.99942293187
5202.599999999991,0.328125,76197.04684844737,5395.005486516533,59410.35455054225
5235.419999999991,0.2734375,76730.98329160907,5855.104911209725,63132.460434229724
5268.239999999991,0.328125,76789.7002568032,5772.298983389057,62584.42597807068
5301.05999999999,0.3203125,77102.93096788754,5687.00255194583,63839.01493271714
5333.87999999999,0.390625,77561.76465371098,5600.08094955056,64998.99748014414
5366.69999999999,0.4296875,77218.30794464255,5580.740203331846,64367.52465213381
5399.5199999999895,0.390625,77630.9572866119,5532.708205211268,64313.9983880393
5432.339999999989,0.4453125,78737.62194520218,6488.3666327782985,61547.851433514035
